# emw.Ex (V/m) @ freq=3.2962E14                     emw.Ey (V/m) @ freq=3.2962E14
56.543848668377706-3.4127059086444156i            -3.8546168606808524-56.70069022322943i
55.562860024523204+6.738973078938186i             6.326277106833349-55.92303212801457i
52.2529399755186+14.741927433795727i              14.34812546229482-52.592888193190674i
48.331598330929886+22.13408736748663i             21.763258007074786-48.64862665214005i
43.79883509075681+28.915452880011333i             28.571674741173634-44.09024750486246i
38.65465025499968+35.086023971369464i             34.77337566459106-38.91775075135816i
32.89904382365836+40.64580064156121i              40.368360777327204-33.13113639162704i
26.5320157967328+45.594782890586565i              45.35663007938198-26.73040442566907i
19.55356617422307+49.93297071844556i              49.73818357075557-19.715554853484296i
11.963694956128933+53.66036412513823i             53.51302125144788-12.086587675072462i
3.7624021424507785+56.776963110664425i            56.681143121458895-3.8435028904340083i
-6.138591764365138+56.5854558969682i              55.71191244535438+6.613420813727232i
-14.022323741962413+53.629319134482i              53.135689670008254+14.485987585915584i
-21.448369746095263+49.909749673093685i           49.77764494215161+21.95010342214554i
-28.416729776763717+45.426747512803054i           45.63777826178425+29.005768322417257i
-34.92740383396754+40.180312653610386i            40.71608962890647+35.652982286730364i
-40.98039191770699+34.170445095515426i            35.012579043517974+41.89174531508524i
-45.746080921577175+26.92704597350053i            27.58197729654897+46.56559742469435i
-49.7652559944234+19.419980713578738i             19.71747230088186+50.33223556013749i
-52.94215588176401+11.640428851373569i            11.658869730417804+53.20887674974222i
-55.27678058359893+3.58839038688498i              3.4061695851568476+55.19552099350844i
-56.76913009992825-4.736134679887252i             -5.040628134901341+56.29216829143621i
-57.41920443075189-13.333146348942876i            -13.6815234297564+56.498818643525496i
-50.355111632666926-19.256931337096095i           -22.00213281804688+51.82926389547893i
-44.65533034195994-29.03146374828389i             -28.976329353565564+45.49113000609416i
-39.148446181021754-35.33388019279975i            -35.27728016666913+39.88522317157135i
-33.141038103228354-40.91732248924189i            -40.86387473050354+33.77335262134369i
-26.63310610858016-45.781790637610044i            -45.73611304506848+27.155518355411562i
-19.62465019707682-49.92728463790447i             -49.89399511036422+20.031720373774565i
-12.115670368718769-53.35380449012493i            -53.337520926390475+12.401958676433066i
-4.106166623505711-56.06135019427154i             -56.066690493147476+4.266233263386939i
5.812970226461317-56.4083252576845i               -56.468475099993796-5.8546671127881655i
13.864286243747745-52.776957915748675i            -52.88880430593652-13.93542791848904i
21.250721013073782-48.61875171062034i             -48.77800424376407-21.34827747151295i
27.972274534439148-43.93370664229965i             -44.1360749134765-28.093215771859352i
34.02894680784374-38.72182271078675i              -38.963016315073965-34.17024281952834i
39.42073783328774-32.98309991608156i              -33.258828448556415-39.57935861452003i
44.119988487862734-26.713592177950286i            -27.024009828561823-44.32183098046765i
48.17821928118128-19.91432108927281i              -20.257763766777348-48.39788028855115i
51.57209778632334-12.587403147204636i             -12.959396862863564-51.8068192446123i
54.30162400328912-4.732838351745336i              -5.128909116820065-54.548647848651285i
56.36679793207856+3.6493732971045993i             3.2336994713526774-56.62336610066797i
57.767619572691714+12.55923179934539i             12.12842890165489-58.03097400066247i
53.93036870835505+25.860547955846716i             25.105937779012734-54.38615847374957i
48.04540699404514+32.17154287508049i              31.589453991030016-48.49154367271932i
41.756488116509004+37.7304905991612i              37.29879789942075-42.177242821693895i
35.0636120757464+42.53739112808905i               42.2339695041851-35.44325592067306i
27.96677887175735+46.592244461864006i             46.39496880532308-28.28958296965686i
20.465988504542853+49.89505060048561i             49.781795802834154-20.716223968646247i
12.561240974101885+52.445809543954454i            52.394450496719-12.723178917640226i
4.25253628043389+54.244521292270555i              54.232932886977615-4.310447816638229i
