      freq          n          k
4.3034E+14    1.78274    0.011
4.2937E+14    1.78124    0.01106
4.2840E+14    1.77975    0.01113
4.2744E+14    1.77824    0.0112
4.2648E+14    1.77674    0.01126
4.2552E+14    1.77524    0.01133
4.2457E+14    1.77373    0.0114
4.2363E+14    1.77223    0.01147
4.2269E+14    1.77072    0.01154
4.2175E+14    1.76921    0.01161
4.2081E+14    1.76769    0.01168
4.1988E+14    1.76618    0.01175
4.1896E+14    1.76466    0.01182
4.1804E+14    1.76315    0.01189
4.1712E+14    1.76163    0.01196
4.1621E+14    1.76011    0.01203
4.1530E+14    1.75858    0.01211
4.1440E+14    1.75706    0.01218
4.1349E+14    1.75553    0.01225
4.1260E+14    1.754      0.01233
4.1170E+14    1.75247    0.0124
4.1082E+14    1.75094    0.01248
4.0993E+14    1.7494     0.01255
4.0905E+14    1.74786    0.01263
4.0817E+14    1.74633    0.0127
4.0730E+14    1.74478    0.01278
4.0643E+14    1.74324    0.01286
4.0556E+14    1.7417     0.01294
4.0470E+14    1.74015    0.01301
4.0384E+14    1.7386     0.01309
4.0298E+14    1.73705    0.01317
4.0213E+14    1.73549    0.01325
4.0128E+14    1.73393    0.01333
4.0044E+14    1.73237    0.01341
3.9960E+14    1.73081    0.01349
3.9876E+14    1.72925    0.01358
3.9793E+14    1.72768    0.01366
3.9710E+14    1.72612    0.01374
3.9627E+14    1.72454    0.01383
3.9545E+14    1.72297    0.01391
3.9463E+14    1.7214     0.01399
3.9381E+14    1.71982    0.01408
3.9300E+14    1.71824    0.01416
3.9219E+14    1.71665    0.01425
3.9138E+14    1.71507    0.01434
3.9058E+14    1.71348    0.01442
3.8978E+14    1.71189    0.01451
3.8898E+14    1.7103     0.0146
3.8819E+14    1.7087     0.01469
3.8740E+14    1.7071     0.01478
3.8661E+14    1.7055     0.01487
3.8583E+14    1.7039     0.01496
3.8505E+14    1.70229    0.01505
3.8427E+14    1.70068    0.01514
3.8350E+14    1.69907    0.01523
3.8273E+14    1.69745    0.01532
3.8196E+14    1.69584    0.01541
3.8120E+14    1.69422    0.01551
3.8044E+14    1.69259    0.0156
3.7968E+14    1.69097    0.0157
3.7892E+14    1.68934    0.01579
3.7817E+14    1.68771    0.01589
3.7742E+14    1.68607    0.01598
3.7668E+14    1.68443    0.01608
3.7593E+14    1.68279    0.01618
3.7519E+14    1.68115    0.01627
3.7446E+14    1.6795     0.01637
3.7372E+14    1.67785    0.01647
3.7299E+14    1.6762     0.01657
3.7226E+14    1.67455    0.01667
3.7154E+14    1.67289    0.01677
3.7081E+14    1.67123    0.01687
3.7009E+14    1.66956    0.01698
3.6938E+14    1.66789    0.01708
3.6866E+14    1.66622    0.01718
3.6795E+14    1.66455    0.01729
3.6724E+14    1.66287    0.01739
3.6653E+14    1.66119    0.0175
