       freq              n              k 
6.58611E+14    1.57292E+00    1.69734E-04
6.56328E+14    1.57253E+00    1.64643E-04
6.54060E+14    1.57214E+00    1.59738E-04
6.51809E+14    1.57176E+00    1.55011E-04
6.49573E+14    1.57138E+00    1.50456E-04
6.47352E+14    1.57101E+00    1.46064E-04
6.45146E+14    1.57064E+00    1.41829E-04
6.42956E+14    1.57028E+00    1.37745E-04
6.40780E+14    1.56992E+00    1.33804E-04
6.38619E+14    1.56957E+00    1.30002E-04
6.36472E+14    1.56922E+00    1.26332E-04
6.34340E+14    1.56888E+00    1.22790E-04
6.32222E+14    1.56854E+00    1.19369E-04
6.30118E+14    1.56820E+00    1.16066E-04
6.28029E+14    1.56787E+00    1.12875E-04
6.25953E+14    1.56754E+00    1.09792E-04
6.23891E+14    1.56722E+00    1.06813E-04
6.21842E+14    1.56690E+00    1.03934E-04
6.19807E+14    1.56658E+00    1.01150E-04
6.17785E+14    1.56627E+00    9.84580E-05
6.15776E+14    1.56597E+00    9.58548E-05
6.13780E+14    1.56566E+00    9.33366E-05
6.11797E+14    1.56536E+00    9.09003E-05
6.09828E+14    1.56506E+00    8.85426E-05
6.07870E+14    1.56477E+00    8.62607E-05
6.05925E+14    1.56448E+00    8.40517E-05
6.03993E+14    1.56420E+00    8.19127E-05
6.02073E+14    1.56391E+00    7.98414E-05
6.00165E+14    1.56363E+00    7.78351E-05
5.98269E+14    1.56336E+00    7.58915E-05
5.96386E+14    1.56309E+00    7.40081E-05
5.94514E+14    1.56282E+00    7.21830E-05
5.92654E+14    1.56255E+00    7.04138E-05
5.90805E+14    1.56229E+00    6.86987E-05
5.88968E+14    1.56203E+00    6.70356E-05
5.87142E+14    1.56177E+00    6.54229E-05
5.85328E+14    1.56151E+00    6.38585E-05
5.83525E+14    1.56126E+00    6.23408E-05
5.81733E+14    1.56101E+00    6.08683E-05
5.79952E+14    1.56077E+00    5.94392E-05
5.78182E+14    1.56052E+00    5.80521E-05
5.76422E+14    1.56028E+00    5.67055E-05
5.74674E+14    1.56005E+00    5.53982E-05
5.72936E+14    1.55981E+00    5.41286E-05
5.71208E+14    1.55958E+00    5.28954E-05
5.69491E+14    1.55935E+00    5.16977E-05
5.67784E+14    1.55912E+00    5.05340E-05
5.66088E+14    1.55890E+00    4.94031E-05
