# Frequency (Hz), Power (W m^-2 Hz^-1)
7.962615086321379688e+13,4.042830483580746192e-13
7.973203670212765625e+13,4.179751249112477866e-13
7.983820452729693750e+13,4.229079198349946165e-13
7.994465546666667188e+13,4.357842909777269384e-13
8.005139065420560938e+13,4.833094676284350605e-13
8.015841122994651562e+13,4.128918661456120863e-13
8.026571834002676562e+13,3.994248125231356922e-13
8.037331313672921875e+13,4.302387154449363093e-13
8.048119677852348438e+13,4.951473337264542930e-13
8.058937043010751562e+13,4.789554725889737181e-13
8.069783526244951562e+13,4.246998805920595915e-13
8.080659245283018750e+13,4.299208634528091153e-13
8.091564318488528125e+13,4.931413559776745449e-13
8.102498864864864062e+13,4.967430501537167599e-13
8.113463004059539062e+13,4.614273828729875193e-13
8.124456856368562500e+13,4.402044177508963378e-13
8.135480542740840625e+13,4.274981645802444788e-13
8.146534184782607812e+13,3.763418320550279714e-13
8.157617904761903125e+13,2.175280235869043263e-13
8.168731825613078125e+13,3.549400521276623482e-13
8.179876070941337500e+13,4.593864830482159437e-13
8.191050765027321875e+13,4.876693008734730211e-13
8.202256032831737500e+13,4.891896795148862535e-13
8.213492000000000000e+13,4.498567722474192574e-13
8.224758792866940625e+13,4.697202188288539473e-13
8.236056538461537500e+13,5.073690279426576995e-13
8.247385364511690625e+13,4.539240419283665480e-13
8.258745399449034375e+13,4.375561692749456746e-13
8.270136772413793750e+13,4.488000140917487148e-13
8.281559613259668750e+13,5.076662122033770222e-13
8.293014052558782812e+13,4.129192207196886693e-13
8.304500221606648438e+13,4.120429416206326933e-13
8.316018252427184375e+13,4.490634083096246482e-13
8.327568277777776562e+13,4.436253029420774326e-13
8.339150431154379688e+13,4.168728012163669911e-13
8.350764846796656250e+13,4.063550779186047384e-13
8.362411659693165625e+13,3.929973174892211540e-13
8.374091005586592188e+13,4.355035068960940619e-13
8.385803020979020312e+13,3.685243968012031529e-13
8.397547843137254688e+13,3.544514726918180455e-13
8.409325610098176562e+13,4.600109068621066799e-13
8.421136460674156250e+13,4.563540821297113297e-13
8.432980534458507812e+13,3.818524822679162764e-13
8.444857971830985938e+13,4.429902802958438559e-13
8.456768913963328125e+13,4.000421951242015878e-13
8.468713502824857812e+13,3.775040918474341014e-13
8.480691881188118750e+13,3.941370169825953559e-13
8.492704192634560938e+13,4.624947379430072094e-13
8.504750581560282812e+13,4.736611569461164943e-13
8.516831193181817188e+13,5.010013587466568278e-13
8.528946173541962500e+13,4.736975609639919400e-13
8.541095669515668750e+13,4.916246301966676093e-13
8.553279828815976562e+13,4.839143092285531540e-13
8.565498799999998438e+13,4.869477070033565087e-13
8.577752732474962500e+13,4.997366599028987903e-13
8.590041776504298438e+13,4.233077201028185372e-13
8.602366083213773438e+13,4.899534569011739290e-13
8.614725804597701562e+13,4.534040999790594771e-13
8.627121093525179688e+13,4.407834848700563460e-13
8.639552103746396875e+13,4.925727571171921083e-13
8.652018989898989062e+13,3.931917340879203196e-13
8.664521907514450000e+13,5.003599790358969936e-13
8.677061013024601562e+13,3.308407012110358681e-13
8.689636463768115625e+13,4.428016081044974428e-13
8.702248417997096875e+13,4.480509878270520467e-13
8.714897034883720312e+13,3.171547740537222384e-13
8.727582474526928125e+13,4.547027211238249641e-13
8.740304897959182812e+13,3.409944658447679614e-13
8.753064467153284375e+13,3.915263063422362798e-13
8.765861345029239062e+13,5.136323542869114338e-13
8.778695695461200000e+13,2.830981032051180170e-13
8.791567683284456250e+13,2.746208966337639702e-13
8.804477474302496875e+13,1.724606263610540684e-13
8.817425235294117188e+13,4.823471576459738456e-13
8.830411134020618750e+13,3.670312402005123176e-13
8.843435339233037500e+13,3.777845002358265516e-13
8.856498020679467188e+13,2.862564406473495267e-13
8.869599349112425000e+13,1.947874906179261380e-13
8.882739496296295312e+13,3.212860178090271345e-13
8.895918635014835938e+13,1.492155396717819016e-13
8.909136939078751562e+13,2.715942707521348313e-13
8.922394583333332812e+13,1.973357245698289242e-13
8.935691743666170312e+13,1.363222271922531048e-13
8.949028597014925000e+13,3.005107728560669937e-13
8.962405321375185938e+13,1.321517558657196264e-13
8.975822095808382812e+13,1.287577658808214788e-13
8.989279100449775000e+13,3.364724652779623807e-13
9.002776516516515625e+13,1.724260062606378538e-13
9.016314526315789062e+13,1.297611952849727962e-13
9.029893313253010938e+13,2.205528161752488917e-15
9.043513061840120312e+13,5.913730055377177022e-16
9.057173957703926562e+13,1.433867237247176263e-13
9.070876187594553125e+13,1.436133371307159481e-13
9.084619939393939062e+13,6.463693626341994136e-14
9.098405402124429688e+13,4.430559885866109769e-14
9.112232765957445312e+13,3.161778209577241277e-13
9.126102222222221875e+13,4.005596158126166111e-13
9.140013963414632812e+13,1.027923156092205939e-13
9.153968183206106250e+13,2.120314066156394380e-13
9.167965076452600000e+13,4.346462892005107855e-14
9.182004839203675000e+13,8.699431812424047671e-14
9.196087668711656250e+13,4.341898581051028324e-14
9.210213763440859375e+13,3.512137701776340984e-13
9.224383323076921875e+13,9.184109878441306224e-14
9.238596548536209375e+13,2.578445803413106780e-14
9.252853641975307812e+13,1.311847833076575007e-13
9.267154806800617188e+13,2.546206520979257226e-13
9.281500247678018750e+13,1.185997921268586316e-14
9.295890170542635938e+13,6.895184196895306355e-15
9.310324782608695312e+13,5.564422424529439895e-14
9.324804292379470312e+13,1.715346241965833767e-14
9.339328909657320312e+13,4.686111863427865292e-15
9.353898845553821875e+13,1.061252282487373435e-14
9.368514312499998438e+13,1.497543744079112720e-14
9.383175524256650000e+13,9.168725958242753612e-14
9.397882695924764062e+13,1.438810468007170831e-13
9.412636043956043750e+13,2.734847643081802004e-13
9.427435786163521875e+13,3.582605150126892198e-13
9.442282141732282812e+13,3.103686646946935894e-13
9.457175331230282812e+13,4.195303418873866925e-13
9.472115576619273438e+13,4.683621588138818195e-13
9.487103101265821875e+13,3.075029299102648556e-13
9.502138129952456250e+13,1.871523309468979540e-13
9.517220888888887500e+13,2.209086060463869911e-13
9.532351605723368750e+13,1.072830390966673689e-13
9.547530509554140625e+13,1.093232851107948737e-13
9.562757830940989062e+13,3.752391374368730345e-13
9.578033801916932812e+13,1.882764497697937543e-13
9.593358656000000000e+13,9.866526249469557478e-14
9.608732628205128125e+13,3.188502082997698323e-13
9.624155955056179688e+13,7.339745462342484503e-14
9.639628874598070312e+13,2.728420289012074045e-14
9.655151626409017188e+13,2.963612443095549914e-14
9.670724451612901562e+13,1.410762975231352117e-13
9.686347592891760938e+13,2.093187840469288771e-14
9.702021294498381250e+13,7.581662394588993631e-14
9.717745802269043750e+13,5.609843693099177906e-14
9.733521363636362500e+13,1.146244158016810580e-13
9.749348227642275000e+13,1.899404664559640780e-13
9.765226644951139062e+13,5.499149374865195527e-14
9.781156867862968750e+13,9.122780281050299283e-14
9.797139150326796875e+13,1.968092083223788386e-13
9.813173747954171875e+13,9.011670155991718786e-15
9.829260918032787500e+13,3.202585653438952810e-14
9.845400919540229688e+13,1.301765677674252951e-13
9.861594013157893750e+13,6.239932400167320524e-14
9.877840461285007812e+13,7.677033284473087528e-14
9.894140528052804688e+13,1.860511173032912136e-13
9.910494479338842188e+13,2.290186180651015997e-13
9.926902582781456250e+13,1.927835781645981309e-14
9.943365107794360938e+13,1.684402243951714237e-13
9.959882325581395312e+13,2.069520334297402433e-13
9.976454509151414062e+13,8.706753478434737509e-14
9.993081933333332812e+13,2.355789751055045101e-13
1.000976487479131875e+14,1.279263065633892743e-13
1.002650361204013281e+14,3.065595065770467630e-13
1.004329842546063594e+14,2.069435470254558962e-13
1.006014959731543594e+14,3.963696525013981545e-14
1.007705741176470469e+14,2.522078267642744449e-14
1.009402215488215312e+14,1.036673076345369871e-14
1.011104411467116406e+14,2.181117325756740428e-13
1.012812358108108125e+14,1.343527840183357595e-13
1.014526084602368906e+14,6.804335151920332196e-14
1.016245620338982969e+14,1.517489442646352656e-13
1.017970994906621406e+14,4.191681807585699537e-14
1.019702238095237969e+14,4.691822594149451069e-14
1.021439379897785312e+14,1.864920314889976238e-13
1.023182450511945312e+14,1.685466164062072772e-13
1.024931480341880156e+14,3.092145729529994961e-14
1.026686500000000000e+14,8.233103289076071091e-14
1.028447540308747812e+14,3.565919851292590124e-14
1.030214632302405469e+14,7.688708499798217159e-14
1.031987807228915625e+14,3.123474887416947695e-15
1.033767096551724062e+14,2.276535989441068977e-14
1.035552531951640625e+14,7.448341114538647136e-14
1.037344145328719688e+14,5.188294573441204252e-15
1.039141968804159375e+14,1.258565469649006403e-14
1.040946034722222031e+14,6.840423770767445049e-15
1.042756375652173906e+14,1.079962229236600737e-14
1.044573024390243906e+14,1.734490799298226442e-16
1.046396013961605625e+14,4.589657678279551301e-15
1.048225377622377500e+14,6.918183965788759745e-16
1.050061148861646094e+14,1.219884052836979974e-17
1.051903361403508750e+14,3.133662388531469049e-17
1.053752049209138750e+14,1.095474737976897543e-15
1.055607246478873125e+14,5.275594704920830664e-18
1.057468987654320781e+14,5.703945997867633873e-21
1.059337307420494688e+14,1.042091496511229874e-16
1.061212240707964531e+14,4.686538949722344532e-18
1.063093822695035469e+14,5.450634625371394894e-22
1.064982088809946719e+14,7.582125168906015709e-21
1.066877074733095938e+14,1.059679064041031037e-20
1.068778816399286875e+14,1.770953794141145809e-24
1.070687349999999844e+14,4.310800907473129642e-23
1.072602711985688594e+14,9.434338909386440740e-27
1.074524939068100312e+14,3.159935964766665859e-27
1.076454068222621250e+14,1.005540442414998881e-37
1.078390136690647500e+14,1.239127245822841751e-44
1.080333181981981875e+14,1.027203939033049508e-48
1.082283241877256250e+14,2.144550160431321052e-34
1.084240354430379688e+14,6.828597063138926124e-38
1.086204557971014375e+14,0.000000000000000000e+00
1.088175891107077969e+14,1.702912291242497252e-54
1.090154392727272656e+14,4.199588636749494873e-39
1.092140102003642969e+14,3.304133776774331106e-34
1.094133058394160625e+14,5.838445288707029108e-38
1.096133301645338125e+14,1.369529415579894393e-31
1.098140871794871719e+14,1.509859292724435608e-29
1.100155809174311875e+14,1.806542976391354160e-32
1.102178154411764688e+14,1.383274014184839930e-55
1.104207948434622344e+14,9.480302614050420736e-37
1.106245232472324531e+14,2.755944080487842945e-46
1.108290048059149531e+14,7.154902738580570053e-53
1.110342437037037031e+14,0.000000000000000000e+00
1.112402441558441562e+14,1.726986320983431753e-43
1.114470104089219375e+14,2.468252840436699487e-40
1.116545467411545625e+14,0.000000000000000000e+00
1.118628574626865625e+14,0.000000000000000000e+00
1.120719469158878438e+14,0.000000000000000000e+00
1.122818194756554219e+14,0.000000000000000000e+00
1.124924795497185625e+14,2.635091262869595180e-48
1.127039315789473594e+14,6.152481020720007431e-36
1.129161800376647812e+14,3.087964451894250071e-38
