# Frequency (Hz), Power (W m^-2 Hz^-1)
9.002776516516515625e+13,1.738981521009444849e-13
9.016314526315789062e+13,1.308638353904153220e-13
9.029893313253010938e+13,2.224242447086511439e-15
9.043513061840120312e+13,5.963582363536310925e-16
9.057173957703926562e+13,1.445927290472397678e-13
9.070876187594553125e+13,1.448157016845300425e-13
9.084619939393939062e+13,6.518181321292613105e-14
9.098405402124429688e+13,4.467861477188997228e-14
9.112232765957445312e+13,3.188460034574987015e-13
9.126102222222221875e+13,4.039792027556610854e-13
9.140013963414632812e+13,1.036751151358184302e-13
9.153968183206106250e+13,2.137952045311293573e-13
9.167965076452600000e+13,4.384270627648677750e-14
9.182004839203675000e+13,8.778016502002863050e-14
9.196087668711656250e+13,4.381602421766060697e-14
9.210213763440859375e+13,3.544368875517209247e-13
9.224383323076921875e+13,9.269020703649591261e-14
9.238596548536209375e+13,2.602576254269879081e-14
9.252853641975307812e+13,1.324173544085622351e-13
9.267154806800617188e+13,2.570118660640222721e-13
9.281500247678018750e+13,1.197273253618675084e-14
9.295890170542635938e+13,6.961447350686853331e-15
9.310324782608695312e+13,5.618375429578019005e-14
9.324804292379470312e+13,1.732068040634298085e-14
9.339328909657320312e+13,4.732168705858504677e-15
9.353898845553821875e+13,1.071771265173055324e-14
9.368514312499998438e+13,1.512470337062315910e-14
9.383175524256650000e+13,9.260661785060651810e-14
9.397882695924764062e+13,1.453372365024606824e-13
9.412636043956043750e+13,2.762628224289752250e-13
9.427435786163521875e+13,3.619372305890363815e-13
9.442282141732282812e+13,3.135630725239925951e-13
9.457175331230282812e+13,4.238543602721320505e-13
9.472115576619273438e+13,4.732405832404228807e-13
9.487103101265821875e+13,3.107471657609212573e-13
9.502138129952456250e+13,1.891411938471781187e-13
9.517220888888887500e+13,2.232684861271594042e-13
9.532351605723368750e+13,1.084443894599243371e-13
9.547530509554140625e+13,1.105138338069865544e-13
9.562757830940989062e+13,3.793370661612841018e-13
9.578033801916932812e+13,1.903417588310377247e-13
9.593358656000000000e+13,9.975976968206451799e-14
9.608732628205128125e+13,3.224122181219115271e-13
9.624155955056179688e+13,7.422279972767027037e-14
9.639628874598070312e+13,2.759231122485410043e-14
9.655151626409017188e+13,2.997315072799463649e-14
9.670724451612901562e+13,1.426886896534268905e-13
9.686347592891760938e+13,2.117343694650250405e-14
9.702021294498381250e+13,7.669247236366434326e-14
9.717745802269043750e+13,5.674923086290583620e-14
9.733521363636362500e+13,1.159597598682752845e-13
9.749348227642275000e+13,1.921703847533083044e-13
9.765226644951139062e+13,5.564226205450440037e-14
9.781156867862968750e+13,9.230888658646643331e-14
9.797139150326796875e+13,1.991486055329650875e-13
9.813173747954171875e+13,9.120008194969337756e-15
9.829260918032787500e+13,3.241372903383712990e-14
9.845400919540229688e+13,1.317508104139831334e-13
9.861594013157893750e+13,6.315457715750809936e-14
9.877840461285007812e+13,7.770438316029952665e-14
9.894140528052804688e+13,1.883111822312754978e-13
9.910494479338842188e+13,2.318175954579885096e-13
9.926902582781456250e+13,1.951382703563543372e-14
9.943365107794360938e+13,1.705051339883940790e-13
9.959882325581395312e+13,2.094936397632791496e-13
9.976454509151414062e+13,8.813682748650068135e-14
9.993081933333332812e+13,2.384909896565843997e-13
1.000976487479131875e+14,1.295151001263680814e-13
1.002650361204013281e+14,3.103467689637476184e-13
1.004329842546063594e+14,2.095203847239546228e-13
1.006014959731543594e+14,4.013164974283642638e-14
1.007705741176470469e+14,2.553667350347420045e-14
1.009402215488215312e+14,1.049707622731456805e-14
1.011104411467116406e+14,2.208506287456370590e-13
1.012812358108108125e+14,1.360420209103458974e-13
1.014526084602368906e+14,6.889968238460488933e-14
1.016245620338982969e+14,1.536619168384816768e-13
1.017970994906621406e+14,4.244913186742009513e-14
1.019702238095237969e+14,4.751216403182498966e-14
1.021439379897785312e+14,1.888539631390593631e-13
1.023182450511945312e+14,1.706885999780555076e-13
1.024931480341880156e+14,3.131528850035314971e-14
1.026686500000000000e+14,8.337766202243819401e-14
1.028447540308747812e+14,3.611553194910594272e-14
1.030214632302405469e+14,7.786441532161560220e-14
1.031987807228915625e+14,3.163165763329509781e-15
1.033767096551724062e+14,2.305458364799824666e-14
1.035552531951640625e+14,7.543112260349126489e-14
1.037344145328719688e+14,5.254321841545460769e-15
1.039141968804159375e+14,1.274501598202313684e-14
1.040946034722222031e+14,6.927021919944366321e-15
1.042756375652173906e+14,1.093554809757755836e-14
1.044573024390243906e+14,1.756278744677426239e-16
1.046396013961605625e+14,4.647428827245546289e-15
1.048225377622377500e+14,7.004402065378176375e-16
1.050061148861646094e+14,1.235055455014148696e-17
1.051903361403508750e+14,3.172135504489575987e-17
1.053752049209138750e+14,1.108947119843822235e-15
1.055607246478873125e+14,5.340164174510355906e-18
1.057468987654320781e+14,5.772845890772878003e-21
1.059337307420494688e+14,1.054567315032321541e-16
1.061212240707964531e+14,4.742175793828676613e-18
1.063093822695035469e+14,5.514563131538152238e-22
1.064982088809946719e+14,7.670144959083660794e-21
1.066877074733095938e+14,1.071847476229705877e-20
1.068778816399286875e+14,1.790637473942056848e-24
1.070687349999999844e+14,4.358134986838129195e-23
1.072602711985688594e+14,9.534923215946949590e-27
